GreyhoundName,,GreyhoundName,Earmark,Reg Date,Active,Colour,Sex,Whelp Date,Retirement Type,Status Meaning,NoticeSentBy
AREYOUATHOME,681286,AREYOUATHOME,VPLAY,,False,bk,B,08/05/2020,RET,Transfer is complete,2022-08-26 07:33:00
ARLINGTON IVY,900680,ARLINGTON IVY,VTLAI,,False,bk,B,01/08/2020,EUT,Died/Put To Sleep,2022-08-05 07:33:00
ARRIGLE BEAG,94464,ARRIGLE BEAG,TBYSM,,False,bd,B,24/08/2018,RET,Still at premises,2022-06-14 07:35:00
ARRIGLE CRYS,712585,ARRIGLE CRYS,UBARD,,False,bk,D,09/08/2019,EUT,Died/Put To Sleep,2022-09-14 07:33:00
ARRIGLE MAC,695539,ARRIGLE MAC,XXBEY,,False,f,D,19/03/2021,EUT,Died/Put To Sleep,2022-07-30 07:33:00
ARROWHEAD,403282,ARROWHEAD,VVRMH,,False,bk,D,02/07/2020,DIE,Died/Put To Sleep,2022-09-05 07:31:00
ARTEMIS CUR,126303,ARTEMIS CUR,UXYJV,,False,be,B,07/06/2019,DIE,Died/Put To Sleep,2022-02-03 06:05:00
ARTISTIC ABBA,96941,ARTISTIC ABBA,TNHMD,,False,bk,B,15/10/2018,EUT,Died/Put To Sleep,2021-09-23 06:02:00
ARTISTIC GEM,4263,ARTISTIC GEM,TXHLS,17/09/2018,False,bk,B,01/06/2018,RET,,2022-04-22 06:07:00
AS GOODAS NEW,5671,AS GOODAS NEW,TRZUR,01/11/2018,False,be,D,15/07/2018,EUT,Died/Put To Sleep,2021-10-28 06:02:00
AS ISAY MYSELF,3813,AS ISAY MYSELF,TXIXV,21/08/2018,False,bk,B,13/05/2018,RET,Licence Unsuspended,2022-09-14 07:33:00
ASCOT LEON,831768,ASCOT LEON,XXKTB,,False,bk,D,17/07/2021,DIE,Died/Put To Sleep,2022-08-24 07:33:00
ASCOT LOUIE,637225,ASCOT LOUIE,VXLYP,,False,bk,D,08/07/2020,DIE,Died/Put To Sleep,2022-09-16 07:33:00
ASGOODASA,193280,ASGOODASA,VVQLY,,False,bk,D,23/11/2020,DIE,Died/Put To Sleep,2022-09-03 07:34:00
ASHAS LADY,20614,ASHAS LADY,ZAT8,20/11/2019,False,bd,B,27/10/2018,RET,Still at premises,2022-09-14 07:33:00
ASHBURY ABBEY,485557,ASHBURY ABBEY,XRQSQ,,False,wbk,B,21/10/2021,DIE,Died/Put To Sleep,2022-07-30 07:33:00
ASHBURY JOSEPH,6744,ASHBURY JOSEPH,TTUVH,11/12/2018,False,bd,D,25/08/2018,EUT,Died/Put To Sleep,2022-04-22 06:07:00
ASHGROVE SCION,151695,ASHGROVE SCION,UVVVQ,,False,bk,B,21/10/2019,RET,Still at premises,2022-07-18 07:32:00
ASHTOWN ALICE,558644,ASHTOWN ALICE,UYKLP,,True,bd,B,04/07/2019,RET,Still at premises,2022-07-28 07:34:00
ASHVILLE DOLL,7912,ASHVILLE DOLL,TBTMH,10/01/2019,True,wf,B,28/09/2018,RET,Transfer is complete,2022-07-06 07:34:00
ASHVILLE FLICK,862287,ASHVILLE FLICK,XPSNK,,False,bebdw,D,29/09/2021,DIE,Died/Put To Sleep,2022-08-19 07:34:00
ASHVILLE PRANCER,862241,ASHVILLE PRANCER,XPMJB,,False,bebdw,D,29/09/2021,DIE,Died/Put To Sleep,2022-08-19 07:34:00
ASSARULA DAN,101793,ASSARULA DAN,TXVRI,,False,bkw,D,08/11/2018,DIE,Died/Put To Sleep,2022-04-22 06:07:00
